date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:18	0/0	---MCZ	302	error ('Found')	text/html	date:Mon,%2010%20Apr%202023%2021:02:17%20GMT	https://apresentacao.pegaocardapio.com.br/wp-admin/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-admin/index.html	(from https://apresentacao.pegaocardapio.com.br/)
18:02:18	829/829	---M--	200	added ('OK')	application/javascript	etag:%2233d-5bafb5738566a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/autocomplete-br.js?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/js/autocomplete-br10f0.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:18	11688/11688	---M--	200	added ('OK')	application/javascript	etag:%222da8-5bafb57959582%22	https://apresentacao.pegaocardapio.com.br/wp-content/themes/cosmoswp/assets/js/cosmoswp.min.js?ver=1.2.0	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/themes/cosmoswp/assets/js/cosmoswp.min7359.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:21	19708/19708	---M--	200	added ('OK')	application/javascript	etag:%224cfc-5bafb570f3712%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/js/gutentor.min.js?ver=3.0.3	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/js/gutentor.min19ce.js	(from https://apresentacao.pegaocardapio.com.br/)
18:02:22	49509/49509	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Apr%202023%2021:02:18%20GMT	https://apresentacao.pegaocardapio.com.br/pedidos/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/pedidos/index.html	(from https://apresentacao.pegaocardapio.com.br/)
18:02:22	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5bafb5b5a9492%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.eot	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.eot	(from https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0)
18:02:23	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5bafb5b5a9492%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.eot?	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0)
18:02:23	75936/75936	---M--	200	added ('OK')	text/html	etag:%22128a0-5bafb5b5eedda%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.woff2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.html	(from https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0)
18:02:23	89100/89100	---M--	200	added ('OK')	text/html	etag:%2215c0c-5bafb5b5dc112%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.woff	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-401.html	(from https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0)
18:02:23	131624/131624	---M--	200	added ('OK')	text/html	etag:%2220228-5bafb5b5d24d2%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-400.ttf	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/webfonts/fa-brands-402.html	(from https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0)
